,sex,age,race,decile_score,v_decile_score,priors_count,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,vr_charge_degree
1520,Male,23,African-American,7,6,2,(M1),0,,0,
1521,Female,42,Other,3,2,2,(M2),0,,0,
1522,Male,55,Caucasian,1,1,0,(M1),0,,0,
1523,Male,29,African-American,2,2,8,(F3),0,,0,
1524,Male,36,African-American,4,2,5,(F3),0,,0,
1525,Male,23,African-American,7,8,0,(F3),0,,0,
1526,Male,27,African-American,10,7,0,,-1,,0,
1527,Female,38,African-American,7,4,8,(M1),1,(M2),1,(M1)
1528,Male,69,Hispanic,1,1,0,(M1),0,,0,
1529,Male,21,Hispanic,5,6,1,(F3),1,(M2),0,
1530,Male,59,Hispanic,1,1,1,(TCX),0,,0,
1531,Male,39,African-American,6,1,1,(F3),0,,0,
1532,Male,29,African-American,6,3,2,(F7),0,,0,
1533,Male,22,Hispanic,7,5,1,(M1),1,(M2),0,
1534,Male,28,African-American,4,6,1,(F3),0,,0,
1535,Male,34,African-American,6,2,8,(M1),0,,0,
1536,Male,44,Caucasian,3,1,6,(F3),0,,0,
1537,Female,27,Caucasian,2,2,0,,-1,,0,
1538,Male,25,African-American,5,6,2,(F3),0,,0,
1539,Male,31,African-American,10,10,0,(F3),0,,0,
1540,Male,35,African-American,7,2,17,(M1),1,(F3),1,(F3)
1541,Male,27,African-American,10,9,11,(M1),1,(F3),0,
1542,Male,30,Caucasian,6,2,13,(F3),0,,0,
1543,Male,33,African-American,5,4,1,(F3),0,,0,
1544,Male,29,Other,3,2,0,(M1),0,,0,
1545,Female,50,Caucasian,2,1,0,(F3),0,,0,
1546,Male,28,African-American,9,6,6,(F3),1,(M2),0,
1547,Male,20,African-American,10,10,1,(F3),1,(F3),1,(F3)
1548,Male,60,Caucasian,1,1,1,(F2),0,,0,
1549,Male,53,Hispanic,1,1,0,(M1),0,,0,
1550,Female,38,Other,2,1,0,(M1),0,,0,
1551,Male,51,Hispanic,1,1,0,(F3),1,(M2),0,
1552,Male,25,Hispanic,2,3,1,(F1),0,,0,
1553,Female,23,Caucasian,3,4,1,(M1),0,,0,
1554,Male,27,African-American,7,8,5,(F3),1,(F3),1,(F3)
1555,Female,54,African-American,1,1,0,(F3),0,,0,
1556,Female,26,African-American,5,5,3,(M1),0,,0,
1557,Male,24,Caucasian,4,5,3,(M1),0,,0,
1558,Male,55,Hispanic,2,1,1,(F1),1,(F2),0,
1559,Male,35,African-American,1,1,0,(M1),0,,0,
1560,Male,26,Hispanic,3,3,0,(F3),0,,0,
1561,Female,75,African-American,1,1,5,(F2),0,,0,
1562,Male,30,African-American,8,7,13,(M1),0,,0,
1563,Male,36,African-American,5,3,16,(F3),1,(M2),0,
1564,Male,56,African-American,3,3,8,(F2),0,,0,
1565,Male,24,African-American,3,4,0,(F3),0,,0,
1566,Male,34,Other,2,2,0,(F3),1,(M1),0,
1567,Female,25,African-American,7,7,5,(M1),1,(M2),0,
1568,Female,39,Hispanic,2,3,0,(F3),0,,0,
1569,Male,46,Caucasian,1,1,0,(F3),0,,0,
1570,Male,27,African-American,2,5,1,(F3),0,,0,
1571,Male,24,African-American,6,6,1,(M2),0,,0,
1572,Female,32,Caucasian,1,1,0,(M1),0,,0,
1573,Male,28,African-American,3,2,3,(M2),1,(M2),0,
1574,Male,42,African-American,8,6,13,(M2),1,(M2),0,
1575,Male,59,African-American,1,1,2,(M1),0,,0,
1576,Male,39,Caucasian,1,1,1,(F3),0,,0,
1577,Male,55,Caucasian,1,1,0,(M1),0,,0,
1578,Male,27,Caucasian,1,2,0,(M1),0,,0,
1579,Male,46,Caucasian,4,1,5,(M1),0,,0,
1580,Female,29,African-American,2,2,0,,-1,,0,
1581,Male,37,African-American,1,1,7,(F3),0,,0,
1582,Male,25,Other,2,3,1,(F3),0,,0,
1583,Female,26,Hispanic,3,2,1,(M1),0,,0,
1584,Male,29,Caucasian,6,3,2,(F3),0,,0,
1585,Male,55,Caucasian,1,1,2,(F2),0,,0,
1586,Male,35,African-American,10,5,1,(M2),1,(M1),0,
1587,Male,33,Other,1,2,0,(F7),0,,0,
1588,Male,43,African-American,1,1,0,(M1),1,(M1),1,(M1)
1589,Female,53,Caucasian,1,1,0,(M1),0,,0,
1590,Male,60,African-American,2,4,9,(F3),0,,0,
1591,Male,57,African-American,1,1,0,(F3),0,,0,
1592,Female,21,African-American,5,6,0,(M1),0,,0,
1593,Male,55,African-American,10,4,17,(F3),1,(F3),0,
1594,Male,27,African-American,3,3,1,(F3),1,(M1),0,
1595,Male,40,African-American,1,1,0,(F3),0,,0,
1596,Male,57,Other,1,1,0,(F2),0,,0,
1597,Female,37,Caucasian,1,1,0,(M2),0,,0,
1598,Female,36,African-American,1,1,1,(F2),0,,0,
1599,Male,32,Caucasian,2,2,2,(M1),1,(MO3),0,
1600,Male,32,African-American,2,2,2,(M1),0,,0,
1601,Female,26,Caucasian,4,4,1,(F3),0,,0,
1602,Male,36,African-American,5,3,4,(M1),1,(M2),0,
1603,Male,22,Hispanic,3,5,0,(M1),0,,0,
1604,Female,31,African-American,8,5,0,(F3),0,,0,
1605,Female,26,African-American,7,5,4,(F3),1,(F3),0,
1606,Female,50,Caucasian,6,3,30,(MO3),1,(M1),0,
1607,Female,38,African-American,8,3,8,(F3),0,,0,
1608,Male,21,African-American,6,5,4,(F3),0,,0,
1609,Male,47,African-American,3,2,4,(F3),0,,0,
1610,Male,30,African-American,10,9,2,(F3),0,,0,
1611,Male,36,African-American,3,1,2,(F3),1,(M1),0,
1612,Female,43,Asian,1,1,0,(F3),0,,0,
1613,Female,38,Caucasian,1,1,0,(F3),0,,0,
1614,Male,52,Caucasian,2,2,2,(F3),0,,0,
1615,Male,35,Caucasian,2,1,2,(M1),0,,0,
1616,Male,35,Other,1,1,0,(F3),0,,0,
1617,Male,38,Other,4,4,2,(F3),0,,0,
1618,Male,53,Caucasian,1,1,0,(F3),0,,0,
1619,Female,51,Caucasian,3,1,1,(F3),0,,0,
1620,Male,53,African-American,3,1,2,(F3),0,,0,
1621,Male,57,African-American,7,4,19,(F3),0,,0,
1622,Male,22,African-American,8,5,5,(F3),1,(F2),0,
1623,Male,21,African-American,10,9,0,(F3),1,(M2),1,(M1)
1624,Male,26,African-American,3,3,0,(F3),1,(F3),0,
1625,Female,24,African-American,3,4,1,(F3),1,(M1),0,
1626,Male,48,African-American,1,1,0,(M2),0,,0,
1627,Male,27,African-American,5,4,2,(F2),0,,0,
1628,Female,49,Caucasian,5,1,4,(F3),0,,0,
1629,Male,47,Caucasian,3,1,1,(F3),1,(M1),1,(M1)
1630,Male,30,African-American,10,5,8,(F3),1,(M1),0,
1631,Male,55,African-American,1,1,1,(M1),0,,0,
1632,Male,44,Caucasian,1,1,3,(F3),0,,0,
1633,Male,20,African-American,6,6,2,(F1),0,,0,
1634,Male,23,Caucasian,3,4,0,,-1,,0,
1635,Male,34,African-American,1,1,1,(F3),0,,0,
1636,Male,45,African-American,3,1,10,(F2),1,(M2),0,
1637,Male,38,Hispanic,4,5,0,(F3),0,,0,
1638,Male,50,Caucasian,1,1,2,(M1),0,,0,
1639,Male,32,African-American,1,2,0,(F3),0,,0,
1640,Male,29,Caucasian,6,4,1,(M1),0,,0,
1641,Male,26,Caucasian,4,4,0,(F3),0,,0,
1642,Male,44,Hispanic,1,1,2,(M1),0,,0,
1643,Female,22,African-American,6,6,1,(F3),1,(M2),0,
1644,Male,47,Hispanic,1,1,0,(M1),0,,0,
1645,Male,23,Hispanic,4,4,2,(F3),0,,0,
1646,Male,49,Caucasian,1,1,0,(F3),0,,0,
1647,Male,35,African-American,7,3,7,(F3),0,,0,
1648,Male,60,African-American,8,5,43,(F3),0,,0,
1649,Male,49,African-American,3,1,1,(F3),1,(M2),1,(F3)
1650,Male,59,Caucasian,1,1,2,(F2),0,,0,
1651,Male,32,Caucasian,5,4,6,(M1),0,,0,
1652,Male,28,African-American,4,3,2,(F6),0,,0,
1653,Male,24,African-American,2,4,1,(M2),1,(F2),1,(F2)
1654,Male,40,Hispanic,2,1,0,(M1),0,,0,
1655,Male,32,African-American,1,2,0,(F3),0,,0,
1656,Female,54,Hispanic,1,1,0,(M1),0,,0,
1657,Male,26,African-American,2,3,1,(M1),0,,0,
1658,Male,27,African-American,10,5,9,(F3),1,(F3),1,(F1)
1659,Male,34,Caucasian,9,6,3,(F3),0,,0,
1660,Male,29,African-American,2,2,0,(F3),0,,0,
1661,Female,40,Hispanic,1,1,1,(M2),0,,0,
1662,Male,25,Caucasian,8,4,2,(M1),0,,0,
1663,Male,34,African-American,6,7,1,(M1),0,,0,
1664,Female,62,Caucasian,1,1,2,(F3),1,(M1),0,
1665,Male,20,Caucasian,5,6,0,(M1),1,(M1),0,
1666,Male,37,African-American,9,9,18,(M1),0,,0,
1667,Female,30,Caucasian,10,8,5,(F3),1,(M1),0,
1668,Male,23,African-American,6,6,1,(F3),1,(M1),1,(F1)
1669,Male,23,Caucasian,2,3,0,(F3),0,,0,
1670,Female,20,African-American,8,7,0,(F3),0,,0,
1671,Male,29,Caucasian,7,6,7,(M2),1,(M2),1,(M1)
1672,Male,24,African-American,2,3,1,(F1),0,,0,
1673,Male,22,Caucasian,8,6,0,,-1,,0,
1674,Female,54,Caucasian,3,2,1,(M1),0,,0,
1675,Female,51,Caucasian,2,1,0,(M1),0,,0,
1676,Male,66,African-American,1,1,3,(F3),0,,0,
1677,Male,31,Caucasian,1,1,0,(M1),0,,0,
1678,Male,50,Caucasian,2,5,8,(F3),0,,0,
1679,Male,50,African-American,2,1,7,(F2),0,,0,
1680,Male,40,Caucasian,1,1,3,(F3),0,,0,
1681,Female,30,African-American,7,6,4,(M2),1,(M1),1,(F3)
1682,Female,24,Caucasian,7,5,2,(F3),0,,0,
1683,Male,24,Hispanic,6,5,0,(F3),1,(M1),0,
1684,Female,23,African-American,5,3,3,(F3),1,(M2),1,(M1)
1685,Female,25,African-American,3,3,1,(M1),0,,0,
1686,Male,24,African-American,8,5,4,(M2),1,(M1),0,
1687,Male,54,Caucasian,1,1,3,(M2),1,(M2),0,
1688,Female,31,African-American,1,1,0,(F2),0,,0,
1689,Male,25,Caucasian,10,7,4,(M1),0,,0,
1690,Male,46,Caucasian,1,1,1,(M1),0,,0,
1691,Female,30,Caucasian,2,1,0,(M1),0,,0,
1692,Male,24,African-American,5,4,2,(F3),0,,0,
1693,Male,35,African-American,10,9,3,(MO3),0,,0,
1694,Female,35,Hispanic,8,5,10,(F3),0,,0,
1695,Male,25,Other,5,3,1,(F2),0,,0,
1696,Female,22,Caucasian,3,4,0,(M2),0,,0,
1697,Female,32,Caucasian,2,1,1,(F3),0,,0,
1698,Male,25,African-American,3,4,0,(M1),1,(M1),0,
1699,Male,22,African-American,8,7,3,(F3),1,(M1),0,
1700,Male,33,African-American,9,3,16,(F3),1,(M1),0,
1701,Male,38,Caucasian,6,2,5,(F3),0,,0,
1702,Female,49,Caucasian,1,1,0,(M1),1,(MO3),0,
1703,Male,30,African-American,5,7,10,(F5),0,,0,
1704,Male,33,African-American,5,6,4,(M1),1,(M1),1,(M1)
1705,Male,24,African-American,2,3,0,(F3),0,,0,
1706,Male,23,African-American,3,3,1,(F3),0,,0,
1707,Male,33,African-American,9,7,12,(M1),1,(M1),0,
1708,Male,37,Caucasian,2,1,0,(M2),1,(F3),0,
1709,Female,40,Caucasian,1,1,0,(M1),0,,0,
1710,Female,54,Caucasian,1,1,0,,-1,,0,
1711,Male,23,African-American,2,3,1,(M1),0,,0,
1712,Male,27,Caucasian,10,10,1,(F3),0,,0,
1713,Male,43,African-American,6,2,9,(F3),1,(M1),1,(M1)
1714,Male,26,Caucasian,4,3,11,(F2),0,,0,
1715,Male,35,African-American,6,7,5,(F3),1,(M1),0,
1716,Male,25,African-American,9,8,11,(F3),1,(F3),1,(F3)
1717,Male,61,African-American,1,1,1,(F3),1,(M2),0,
1718,Male,27,Caucasian,5,3,0,,-1,,0,
1719,Male,42,Hispanic,1,2,0,,-1,,0,
1720,Male,30,African-American,1,1,0,(F3),0,,0,
1721,Female,42,African-American,10,5,0,(F3),0,,0,
1722,Male,53,Caucasian,6,2,1,(F1),1,(M2),1,(MO3)
1723,Female,27,Hispanic,3,3,0,(F3),1,(M2),0,
1724,Male,25,Caucasian,1,2,0,(M1),0,,0,
1725,Female,52,African-American,1,1,1,(F3),0,,0,
1726,Male,26,Caucasian,9,7,7,(M2),1,(F3),0,
1727,Male,39,African-American,2,1,1,(M1),1,(M2),0,
1728,Male,47,African-American,4,1,5,(F3),0,,0,
1729,Male,50,Caucasian,1,1,1,(F3),0,,0,
1730,Male,25,African-American,10,8,4,(F3),0,,0,
1731,Female,52,Caucasian,7,2,6,(M1),0,,0,
1732,Female,41,Caucasian,1,1,0,(M1),0,,0,
1733,Male,37,Caucasian,1,2,0,(M1),0,,0,
1734,Female,24,African-American,7,5,0,(F3),0,,0,
1735,Female,34,African-American,9,8,14,(F3),0,,0,
1736,Male,30,Caucasian,4,3,1,(F2),0,,0,
1737,Male,20,African-American,4,6,0,(F3),0,,0,
1738,Male,69,Hispanic,1,1,0,,-1,,0,
1739,Male,24,African-American,6,4,5,(F3),1,(M1),0,
1740,Male,20,Other,4,7,0,(M2),1,(M2),0,
1741,Female,40,African-American,2,1,0,(M1),0,,0,
1742,Female,28,African-American,3,2,0,,-1,,0,
1743,Male,27,Caucasian,5,3,1,(F3),0,,0,
1744,Male,25,Caucasian,3,3,1,(M1),1,(M2),0,
1745,Male,31,Caucasian,5,7,3,(M1),0,,0,
1746,Male,22,Caucasian,4,5,0,,-1,,0,
1747,Female,62,Caucasian,1,1,0,(M2),0,,0,
1748,Male,23,Caucasian,3,5,0,(F3),1,(F3),0,
1749,Male,39,African-American,6,2,2,(M1),0,,0,
1750,Female,60,Caucasian,7,3,0,(F3),0,,0,
1751,Female,32,Other,2,2,0,(F3),0,,0,
1752,Male,35,Caucasian,1,1,0,(M1),0,,0,
1753,Female,24,African-American,7,5,0,(F3),0,,0,
1754,Female,56,Caucasian,2,1,1,(F3),1,(M1),1,(M1)
1755,Male,30,Caucasian,1,2,0,(M2),0,,0,
1756,Male,20,African-American,4,9,0,(M1),0,,0,
1757,Male,41,Caucasian,9,6,17,(M2),1,(F3),1,(F3)
1758,Male,35,Caucasian,5,2,4,(F3),1,(M1),0,
1759,Male,21,Caucasian,6,7,2,(F3),0,,0,
1760,Female,60,Caucasian,6,4,6,(F2),0,,0,
1761,Male,34,Caucasian,2,3,0,,-1,,0,
1762,Female,28,Caucasian,4,3,0,(MO3),0,,0,
1763,Male,23,African-American,10,8,1,(MO3),0,,0,
1764,Female,26,Hispanic,6,3,1,(F3),0,,0,
1765,Male,52,Caucasian,1,1,0,,-1,,0,
1766,Male,56,African-American,1,1,0,(F3),0,,0,
1767,Female,25,Caucasian,6,5,0,(F3),0,,0,
1768,Male,23,African-American,2,3,2,(F1),1,(M1),0,
1769,Male,20,Hispanic,3,5,0,(F2),1,(F1),0,
1770,Male,37,Hispanic,2,2,4,(F1),1,(F1),0,
1771,Female,47,Hispanic,1,1,0,,-1,,0,
1772,Male,23,Caucasian,2,4,1,(M1),0,,0,
1773,Male,21,African-American,8,6,0,,-1,,0,
1774,Male,21,African-American,9,9,0,(F2),1,(M1),0,
1775,Female,21,African-American,7,8,3,(F3),1,(M1),1,(M1)
1776,Male,41,Caucasian,10,8,16,(F3),0,,0,
1777,Male,61,Caucasian,2,1,0,(M1),0,,0,
1778,Female,35,African-American,5,2,2,(F3),0,,0,
1779,Male,33,Caucasian,3,3,3,(M2),0,,0,
1780,Male,26,African-American,3,4,2,(M1),0,,0,
1781,Male,21,Hispanic,4,6,0,(F3),0,,0,
1782,Male,25,African-American,8,4,8,(F3),0,,0,
1783,Male,32,African-American,8,3,13,(F3),0,,0,
1784,Male,41,African-American,9,5,9,(MO3),1,(M1),0,
1785,Male,24,African-American,5,7,0,(F3),0,,0,
1786,Male,20,Hispanic,10,10,2,(F3),1,(M1),0,
1787,Female,25,Other,6,4,0,,-1,,0,
1788,Male,23,Caucasian,4,4,0,(M2),0,,0,
1789,Male,28,African-American,8,4,9,(F3),1,(M2),0,
1790,Male,25,Native American,9,6,7,(F7),1,(F3),1,(F2)
1791,Female,58,Caucasian,1,1,0,(F3),0,,0,
1792,Male,49,African-American,2,1,3,(F3),0,,0,
1793,Female,22,Hispanic,6,6,0,(F3),0,,0,
1794,Male,21,African-American,3,6,0,(F3),1,(M2),0,
1795,Female,27,African-American,9,6,3,(F3),1,(M1),1,(M1)
1796,Male,32,African-American,7,6,4,(F3),1,(M1),1,(F3)
1797,Female,25,African-American,7,3,1,(F1),0,,0,
1798,Male,50,African-American,5,2,4,(M2),0,,0,
1799,Female,23,African-American,3,3,0,(M1),0,,0,
1800,Male,65,African-American,1,1,1,(F1),0,,0,
1801,Male,34,Caucasian,4,2,0,(M1),0,,0,
1802,Male,35,African-American,4,2,1,(M1),0,,0,
1803,Male,25,African-American,5,4,4,(F2),1,(M1),0,
1804,Female,33,Caucasian,5,2,2,(F3),1,(M1),0,
1805,Female,42,Hispanic,1,1,0,,-1,,0,
1806,Male,30,Other,4,3,9,(M1),0,,0,
1807,Male,25,Other,4,6,1,(M1),1,(M2),1,(F2)
1808,Male,30,Hispanic,1,1,0,(M2),0,,0,
1809,Male,39,African-American,1,1,0,,-1,,0,
1810,Female,27,African-American,4,2,1,(F3),0,,0,
1811,Male,31,African-American,2,2,4,(F3),0,,0,
1812,Male,39,Caucasian,2,2,2,(F3),0,,0,
1813,Male,42,Native American,2,1,0,(M2),0,,0,
1814,Female,29,Caucasian,10,5,11,(F3),1,(MO3),0,
1815,Female,32,African-American,4,5,6,(F3),1,(M2),0,
1816,Male,27,Other,2,3,0,(M1),0,,0,
1817,Male,24,Other,6,5,5,(F3),0,,0,
1818,Male,52,African-American,1,2,3,(F3),0,,0,
1819,Female,26,Caucasian,3,3,3,(M1),0,,0,
1820,Male,31,Caucasian,3,2,2,(F3),1,(F3),0,
1821,Male,38,Hispanic,1,1,0,(F3),0,,0,
1822,Male,20,African-American,4,6,1,(F2),0,,0,
1823,Male,36,African-American,1,1,0,,-1,,0,
1824,Male,47,Caucasian,1,1,2,(M2),0,,0,
1825,Male,25,African-American,7,5,5,(F3),0,,0,
1826,Male,36,Other,1,1,0,(F2),0,,0,
1827,Female,30,Caucasian,5,2,0,(F3),0,,0,
1828,Male,20,African-American,10,10,0,(M1),1,(M1),1,(F3)
1829,Female,29,Caucasian,7,4,3,(F3),0,,0,
1830,Female,29,African-American,10,10,2,(F3),0,,0,
1831,Male,24,Asian,3,4,0,(F3),0,,0,
1832,Male,31,Caucasian,4,5,0,(F3),0,,0,
1833,Male,28,Caucasian,3,3,3,(F3),0,,0,
1834,Female,33,Caucasian,1,1,0,(F3),0,,0,
1835,Male,26,African-American,8,6,4,(F3),0,,0,
1836,Male,41,Other,2,1,1,(M1),0,,0,
1837,Male,39,African-American,4,3,8,(F3),0,,0,
1838,Female,54,Caucasian,2,1,12,(F3),0,,0,
1839,Female,37,Caucasian,3,2,1,(M2),0,,0,
1840,Male,27,African-American,6,6,1,(F1),0,,0,
1841,Male,43,Hispanic,2,1,0,(M1),1,(M2),0,
1842,Male,49,Caucasian,6,2,8,(F3),1,(M1),0,
1843,Female,33,African-American,2,2,1,(F3),0,,0,
1844,Male,20,African-American,9,8,1,(F7),0,,0,
1845,Male,42,African-American,1,1,0,(M2),0,,0,
1846,Male,44,Caucasian,2,3,0,(F3),1,(M2),0,
1847,Male,28,African-American,6,5,5,(F3),1,(M2),0,
1848,Male,32,African-American,6,7,4,(F3),1,(M1),1,(M1)
1849,Male,30,Caucasian,10,4,18,(M2),0,,0,
1850,Male,28,African-American,7,6,7,(F3),1,(M2),1,(F2)
1851,Male,38,Caucasian,4,2,0,(F3),0,,0,
1852,Male,38,African-American,4,1,3,(F3),0,,0,
1853,Female,27,Caucasian,10,7,3,(F3),0,,0,
1854,Male,21,Caucasian,4,5,1,(F3),0,,0,
1855,Male,29,African-American,8,10,0,(F3),0,,0,
1856,Male,21,Caucasian,10,10,0,(F3),0,,0,
1857,Female,34,African-American,3,2,0,(M1),1,(M1),1,(F3)
1858,Male,21,Caucasian,6,6,1,(F3),1,(M1),0,
1859,Male,36,African-American,8,4,1,(F3),1,(M1),0,
1860,Male,29,African-American,2,2,0,(M1),1,(M2),0,
1861,Male,34,African-American,6,3,3,(F3),1,(M2),0,
1862,Male,38,African-American,2,2,1,(M1),0,,0,
1863,Male,36,Caucasian,1,1,0,(F3),0,,0,
1864,Male,32,Hispanic,2,2,0,(M1),0,,0,
1865,Male,27,Caucasian,1,2,0,(M1),0,,0,
1866,Male,23,African-American,9,8,0,(M1),0,,0,
1867,Male,47,Caucasian,1,1,0,(M1),0,,0,
1868,Male,20,African-American,3,6,0,(F3),0,,0,
1869,Female,25,African-American,8,8,2,(F3),1,(M1),0,
1870,Male,35,African-American,1,1,0,(M1),0,,0,
1871,Female,30,Caucasian,3,2,1,(F3),0,,0,
1872,Female,28,Caucasian,4,4,1,(M1),0,,0,
1873,Male,30,Caucasian,8,2,2,(M1),1,(M1),0,
1874,Female,45,Caucasian,3,2,3,(M1),0,,0,
1875,Male,24,African-American,5,5,2,(M1),1,(M1),0,
1876,Male,23,African-American,10,7,5,(F3),0,,0,
1877,Male,22,African-American,9,9,0,(F3),0,,0,
1878,Male,20,Other,10,8,8,(F3),1,(F3),1,(F2)
1879,Female,42,African-American,1,1,0,(M1),1,(M1),1,(F2)
1880,Male,24,African-American,9,10,8,(F3),1,(F3),1,(F3)
1881,Male,40,Hispanic,1,1,0,(M1),0,,0,
1882,Male,27,Other,4,4,1,(F3),0,,0,
1883,Female,57,African-American,9,4,3,(F3),0,,0,
1884,Male,60,African-American,3,1,12,(F3),0,,0,
1885,Male,20,African-American,3,6,0,(M1),0,,0,
1886,Male,33,African-American,5,4,6,(M1),0,,0,
1887,Male,19,Caucasian,4,7,0,(M1),0,,0,
1888,Male,34,African-American,4,3,2,(M1),1,(M1),0,
1889,Male,37,African-American,3,2,1,(F2),0,,0,
1890,Male,22,African-American,8,9,0,,-1,,0,
1891,Male,24,Caucasian,8,4,4,(M1),0,,0,
1892,Male,27,African-American,2,3,0,(M1),1,(M2),0,
1893,Male,29,African-American,10,9,4,(F1),1,(F2),1,(F2)
1894,Male,40,African-American,1,1,0,,-1,,0,
1895,Male,21,Caucasian,7,8,1,(F3),1,(M1),0,
1896,Female,26,Caucasian,4,6,0,(F3),0,,0,
1897,Male,32,Hispanic,1,1,0,(M1),0,,0,
1898,Male,30,Caucasian,5,2,10,(F7),1,(M1),1,(M1)
1899,Female,42,Caucasian,1,1,0,(F3),1,(F3),0,
1900,Female,29,Caucasian,8,3,8,(M2),0,,0,
1901,Male,38,Caucasian,2,1,1,(M1),0,,0,
1902,Male,32,African-American,4,3,1,(F3),0,,0,
1903,Male,27,Other,1,2,0,(F1),0,,0,
1904,Male,30,Caucasian,4,3,3,(M1),0,,0,
1905,Male,22,African-American,3,5,1,(F3),1,(M1),0,
1906,Male,20,Caucasian,10,9,0,(M1),1,(M1),0,
1907,Male,57,Caucasian,2,2,0,(M1),0,,0,
1908,Male,51,Caucasian,1,1,3,(F3),1,(M1),0,
1909,Male,37,African-American,6,3,9,(M2),0,,0,
1910,Female,49,African-American,1,1,0,(M1),0,,0,
1911,Male,21,African-American,4,6,0,(F3),0,,0,
1912,Male,22,African-American,5,7,0,(F3),0,,0,
1913,Male,35,African-American,8,3,4,(F3),1,(F1),0,
1914,Female,54,Caucasian,2,2,1,(F3),0,,0,
1915,Male,58,Caucasian,3,2,2,(F3),0,,0,
1916,Male,44,Caucasian,1,1,0,(M1),0,,0,
1917,Female,32,Caucasian,1,2,0,(F3),1,(M1),0,
1918,Male,26,African-American,9,7,6,(F3),0,,0,
1919,Female,39,African-American,6,1,22,(F3),1,(M2),0,
1920,Male,31,African-American,3,2,0,(F3),0,,0,
1921,Male,30,Caucasian,6,5,9,(M2),1,(M1),0,
1922,Male,20,African-American,10,10,0,(F2),1,(F3),1,(M1)
1923,Male,40,Other,1,1,0,(M1),0,,0,
1924,Female,45,Caucasian,2,2,5,(M1),0,,0,
1925,Male,31,African-American,3,4,4,(F3),1,(M2),0,
1926,Male,23,Hispanic,9,8,4,(F3),0,,0,
1927,Male,26,Hispanic,5,5,0,(M2),1,(M1),0,
1928,Female,53,Caucasian,3,1,1,(M1),0,,0,
1929,Male,44,Caucasian,1,1,0,(M1),0,,0,
1930,Male,39,African-American,1,1,0,,-1,,0,
1931,Male,26,African-American,4,4,2,(F3),0,,0,
1932,Female,54,Caucasian,1,1,0,(M1),0,,0,
1933,Male,38,Hispanic,2,1,0,(M1),0,,0,
1934,Male,28,African-American,7,4,4,(M1),0,,0,
1935,Male,73,Other,1,1,2,(M1),0,,0,
1936,Female,44,Caucasian,5,2,1,(M1),0,,0,
1937,Male,21,Caucasian,2,5,0,(F3),1,(M1),0,
1938,Male,35,Caucasian,3,2,1,(F2),0,,0,
1939,Male,28,African-American,1,2,0,(M1),0,,0,
1940,Male,28,Caucasian,1,2,2,(M1),0,,0,
1941,Male,24,African-American,3,4,0,(F3),1,(F3),0,
1942,Male,57,African-American,9,5,16,(F7),0,,0,
1943,Male,28,African-American,2,3,0,(F3),0,,0,
1944,Male,56,African-American,1,1,0,(F3),0,,0,
1945,Male,32,Caucasian,2,2,7,(F3),0,,0,
1946,Male,53,Caucasian,1,1,4,(F3),0,,0,
1947,Male,47,Hispanic,5,3,1,(F3),0,,0,
1948,Male,50,African-American,7,1,6,(F2),0,,0,
1949,Male,20,African-American,3,5,1,(F3),0,,0,
1950,Male,21,African-American,6,6,0,(M2),0,,0,
1951,Male,30,Other,2,3,1,(F3),1,(M1),0,
1952,Male,37,Caucasian,1,1,1,(M1),1,(F3),0,
1953,Male,60,Hispanic,1,1,1,(F3),0,,0,
1954,Male,26,Hispanic,2,3,1,(M1),1,(M1),0,
1955,Male,30,Caucasian,1,2,0,(M1),0,,0,
1956,Male,19,African-American,10,9,0,(F2),0,,0,
1957,Male,23,African-American,10,10,9,(F7),0,,0,
1958,Male,26,Caucasian,5,3,0,,-1,,0,
1959,Male,26,Caucasian,8,4,2,(F3),1,(F3),0,
1960,Male,30,African-American,5,6,0,,-1,,0,
1961,Male,72,Caucasian,1,1,0,(M1),0,,0,
1962,Male,20,African-American,10,10,2,(F3),0,,0,
1963,Female,26,African-American,9,6,5,(F3),1,(F3),1,(F1)
1964,Male,21,Hispanic,5,5,0,(F3),0,,0,
1965,Female,39,African-American,2,1,1,(F3),0,,0,
1966,Male,30,Other,2,2,0,(F3),0,,0,
1967,Male,30,Hispanic,2,2,2,(F7),0,,0,
1968,Male,37,Caucasian,1,1,1,(M1),0,,0,
1969,Male,44,African-American,5,2,2,(F3),0,,0,
1970,Male,45,Caucasian,2,2,0,(M1),0,,0,
1971,Male,69,Caucasian,1,1,0,(F3),0,,0,
1972,Male,30,African-American,1,2,1,(F3),0,,0,
1973,Male,38,Asian,1,1,2,(F3),0,,0,
1974,Male,23,Caucasian,5,4,6,(F3),1,(M1),0,
1975,Male,48,African-American,4,1,12,(F2),0,,0,
1976,Female,50,African-American,1,1,1,(F3),0,,0,
1977,Male,32,Caucasian,4,3,0,(F3),0,,0,
1978,Male,37,African-American,4,4,1,(F3),0,,0,
1979,Male,27,African-American,7,5,0,,-1,,0,
1980,Male,46,Asian,1,1,0,(M1),0,,0,
1981,Male,42,African-American,1,1,0,(F3),0,,0,
1982,Female,20,African-American,8,7,0,(F3),1,(F3),0,
1983,Male,65,Caucasian,1,1,2,(M1),0,,0,
1984,Female,34,Caucasian,7,2,6,(F3),0,,0,
1985,Male,54,Caucasian,2,1,4,(M1),0,,0,
